DIST, DISPLACEMENT_X1, DISPLACEMENT_Y1, TEMPERATURE1, STRESS_XX, STRESS_XY, STRESS_YY, STRESS_ZZ, STRAIN_XX, STRAIN_XY, STRAIN_YY, STRAIN_ZZ
0.000000000000e+00, 4.228563162737e-10, 0.000000000000e+00, 2.500001482968e+01, -8.322477940400e-02, 3.326120309251e-01, -1.884156966158e+00, -2.905612450300e+00, 1.063797339375e-09, 3.326120309251e-10, 1.633312459980e-10, -3.473964960730e-10
2.706366175423e+00, 8.533528620231e-10, 0.000000000000e+00, 2.500000080708e+01, -7.044413052189e-01, -1.510077602782e-01, 1.159856813675e-01, 2.626688504198e-01, -2.904933177058e-10, -1.510077602782e-10, 1.197201755875e-10, 1.930617601136e-10
5.572652989512e+00, 4.740101473686e-10, 0.000000000000e+00, 2.499999944982e+01, -4.549143232900e-02, -1.898052199007e-02, 1.589526563124e-01, 3.527926761968e-02, -5.441565185351e-11, -1.898052199007e-11, 4.780639246720e-11, -1.403030187917e-11
8.609324411420e+00, 3.657141516708e-10, 0.000000000000e+00, 2.499999991445e+01, -6.343455850338e-02, 1.060079777753e-02, 6.027252243812e-02, -1.926504254873e-03, -3.346564241594e-11, 1.060079777753e-11, 2.838789805481e-11, -2.711615291689e-12
1.182737955688e+01, 2.808729120808e-10, 0.000000000000e+00, 2.499999999635e+01, -4.436461469743e-02, 1.359611437481e-03, 3.145816753987e-02, -6.223084584754e-03, -2.038034238451e-11, 1.359611437481e-12, 1.753104873414e-11, -1.309577328175e-12
1.523619499301e+01, 2.206622898749e-10, 0.000000000000e+00, 2.500000000303e+01, -3.490423641990e-02, 8.574567606409e-06, 1.800725306171e-02, -4.404741748811e-03, -1.522895159202e-11, 8.574567606409e-15, 1.122679314879e-11, 2.079574352457e-14
1.884768529545e+01, 1.729746349694e-10, 0.000000000000e+00, 2.499999999932e+01, -2.723039766654e-02, -1.204951844496e-05, 1.087114094205e-02, -4.096889639245e-03, -1.159035726490e-11, -1.204951844496e-14, 7.460412039393e-12, -2.360325125605e-14
2.267335393406e+01, 1.339706362232e-10, 0.000000000000e+00, 2.500000000003e+01, -2.245239725631e-02, 1.053622031829e-05, 5.955047260192e-03, -4.165184126857e-03, -9.159124041617e-12, 1.053622031829e-14, 5.044598216633e-12, -1.551747689135e-14
2.672766545364e+01, 1.009395949659e-10, 0.000000000000e+00, 2.499999999999e+01, -1.894419167670e-02, -3.345445041389e-07, 2.421239376127e-03, -4.142457652169e-03, -7.405957932195e-12, -3.345445041389e-16, 3.276757594220e-12, -5.090919927510e-15
3.102247701015e+01, 7.206483040034e-11, 0.000000000000e+00, 2.500000000000e+01, -1.658703305594e-02, 1.073590943997e-06, 4.921523475324e-05, -4.140618461978e-03, -6.225625047563e-12, 1.073590943997e-15, 2.092499097786e-12, -2.417750579323e-15
3.557215812203e+01, 4.614143484683e-11, 0.000000000000e+00, 2.500000000000e+01, -1.477176216071e-02, -9.592317026665e-07, -1.768122027028e-03, -4.138288136306e-03, -5.318009330966e-12, -9.592317026665e-16, 1.183810735874e-12, -1.272318765398e-15
4.039547527718e+01, 2.231201632808e-11, 0.000000000000e+00, 2.500000000000e+01, -1.348151693606e-02, 3.538366640345e-07, -3.058799086810e-03, -4.135825016675e-03, -4.673258123150e-12, 3.538366640345e-16, 5.381008014730e-13, -4.121634594958e-16
4.550000000000e+01, 0.000000000000e+00, 0.000000000000e+00, 2.500000000000e+01, -1.249021212020e-02, 2.660551873834e-06, -4.051573529337e-03, -4.137053338394e-03, -4.177205859682e-12, 2.660551873834e-15, 4.211343575160e-14, -6.264687768013e-16
